STA,datetime,Alnus,Betula,Quercus,Poaceae,alnus,betula,carpinus,corylus,cupressus,fagus,fraxinus,pinaceae,platanus,poaceae,populus,quercus,taxus,ulmus,PM10,mean_wind_dir,mean_wind_vel,max_wind_vel,sum_prec,mean_temp,max_temp,mean_RH,min_RH,max_RH,year
Basel,2023-01-01,NaN,NaN,NaN,NaN,16.94,6.67,0.36,35.72,4.12,0.33,2.00,0.11,0.59,38.83,2.00,3.90,2.93,7.17,21.9,97.00,2.80,9.50,0.00,11.40,17.10,76.10,56.00,92.00,2023.00
Basel,2023-01-02,NaN,NaN,NaN,NaN,9.72,7.38,0.91,51.44,4.42,0.17,1.40,0.11,0.77,38.33,3.35,5.05,3.27,7.63,9.4,129.00,2.10,14.10,3.10,10.10,15.30,76.60,45.80,92.90,2023.00
Basel,2023-01-03,NaN,NaN,NaN,NaN,0.28,2.38,0.00,0.00,2.94,0.17,0.00,0.00,0.68,9.00,0.30,0.97,2.67,0.00,5.8,149.00,0.80,3.90,0.10,6.90,9.60,92.00,78.30,100.00,2023.00
Basel,2023-01-04,1.00,0.00,0.00,1.00,3.33,4.29,0.73,9.14,38.28,3.83,0.00,0.84,6.78,108.67,1.20,3.01,8.73,2.24,8.0,120.00,1.70,9.20,0.00,6.40,12.20,87.50,70.90,100.00,2023.00
Basel,2023-01-05,1.00,0.00,0.00,0.00,2.22,2.38,2.73,6.29,3.53,0.17,0.80,0.05,0.27,31.50,0.60,1.95,1.37,2.39,2.1,243.00,2.50,11.50,0.00,11.00,12.60,80.00,71.40,94.20,2023.00
Basel,2023-01-06,1.00,0.00,0.00,0.00,0.83,0.71,0.36,0.57,0.59,0.17,0.00,0.00,0.14,6.50,0.55,0.80,1.30,0.15,3.1,207.00,1.50,4.90,0.00,8.50,10.80,88.00,80.50,97.40,2023.00
Basel,2023-01-07,7.00,0.00,0.00,0.00,12.08,10.00,2.18,57.44,6.18,0.33,3.00,0.11,0.45,49.00,3.00,4.69,2.27,10.10,9.2,102.00,2.50,8.30,0.00,7.80,11.80,79.80,59.70,93.10,2023.00
Basel,2023-01-08,0.00,0.00,0.00,0.00,2.22,1.91,0.73,9.72,3.83,0.00,0.80,0.00,0.36,10.83,0.55,1.24,1.23,1.93,10.0,104.00,2.20,7.40,10.70,6.40,7.80,93.10,84.80,97.30,2023.00
Basel,2023-01-09,4.00,0.00,0.00,0.00,1.81,2.14,1.46,7.43,2.80,0.00,0.80,0.21,0.36,19.83,0.60,1.33,1.50,2.16,2.4,241.00,4.50,16.70,6.70,6.20,8.80,76.00,57.20,96.00,2023.00
Basel,2023-01-10,0.00,0.00,0.00,0.00,2.92,3.33,0.55,7.14,0.74,0.00,0.60,0.05,0.55,9.50,1.30,1.77,2.50,1.77,5.1,238.00,2.60,11.70,0.00,5.60,8.40,69.20,45.70,84.70,2023.00
Basel,2023-01-11,1.00,0.00,0.00,0.00,2.36,3.10,0.73,9.14,1.33,0.17,0.60,0.00,0.59,12.67,1.40,2.21,2.87,1.39,5.5,210.00,3.00,11.40,1.40,7.50,10.80,80.50,70.10,91.30,2023.00
Basel,2023-01-12,3.00,0.00,0.00,0.00,8.33,4.53,5.46,32.86,5.01,0.17,1.80,0.16,0.27,67.00,1.75,5.31,1.33,6.63,2.8,239.00,4.10,13.20,0.00,9.60,11.20,59.80,53.40,79.60,2023.00
Basel,2023-01-13,0.00,0.00,0.00,0.00,7.08,5.95,1.64,21.15,10.60,0.17,5.00,0.11,0.23,99.17,1.55,1.68,2.73,4.86,1.9,238.00,4.10,14.80,2.80,9.00,11.60,71.00,52.40,89.80,2023.00
Basel,2023-01-14,5.00,0.00,0.00,0.00,7.22,3.81,0.73,27.43,1.62,0.17,6.20,0.05,0.50,20.83,1.65,3.28,1.67,3.78,5.3,169.00,2.60,15.40,0.40,8.50,14.00,70.10,50.50,87.20,2023.00
Basel,2023-01-15,0.00,0.00,0.00,0.00,6.81,4.29,1.82,16.29,12.51,0.00,8.40,0.16,0.64,41.50,1.70,2.30,7.87,2.24,1.2,NaN,5.20,18.60,2.60,6.80,14.20,70.30,51.90,91.00,2023.00
Basel,2023-01-16,3.00,0.00,0.00,0.00,5.14,5.95,0.73,11.43,3.24,0.67,6.80,0.37,0.96,18.33,1.85,3.72,9.87,2.16,1.9,NaN,5.30,21.90,2.00,4.00,7.00,74.00,50.00,NaN,2023.00
Basel,2023-01-17,0.00,0.00,0.00,0.00,0.14,1.67,0.00,0.29,1.47,0.00,1.20,0.00,0.32,3.33,0.40,0.44,1.63,0.15,5.3,NaN,1.80,11.20,4.00,1.20,3.20,92.00,71.00,99.00,2023.00
Basel,2023-01-18,0.00,0.00,0.00,0.00,0.14,3.10,0.00,0.29,0.59,0.00,0.20,0.11,0.73,3.83,0.70,0.27,4.33,0.08,7.5,263.00,2.00,6.90,2.30,0.40,1.90,88.70,82.00,97.00,2023.00
Basel,2023-01-19,0.00,0.00,0.00,0.00,1.11,4.53,0.00,0.57,0.74,0.33,2.20,0.05,0.77,3.33,1.50,1.68,4.63,0.00,9.3,172.00,1.30,5.70,0.00,-0.80,1.90,78.30,53.30,92.50,2023.00
